Key	Category	en	hu	it	lv	fi	pt	de	ru	pl	zh	fr	es	cs	es-ar	sv	hr	nl	sl	ar	ms	id	pt-br	tr	hi	el	zh-cn	fa-ir	sr	ro	vi	Your language here
																																
html	2	HTML support!	HTML támogatás!	Supporto HTML!	HTML atbalsts!			Unterstützung für HTML Mails!	Поддержка HTML!	Wsparcie HTML!	支援 HTML!				¡Soporte HTML!						HTML disokong!	Dukungan HTML!	Suporte a HTML!			Υποστήριξη HTML!					hỗ trợ HTML!	
	8	HTML formatted emails are fully supported, with a few minor exceptions.	HTML formátumú levelek is helyesen jelennek meg, néhány formai elem kivételével, pl Javascript.	Messaggi con formattazione HTML sono pienamente supportati, salvo poche eccezioni come Javascript.	HTML formatēti e-pasti tiek pilnībā atbalstīti, ar dažiem izņēmumiem, piemēram, Javascript.			HTML formatierte Mails werden voll unterstützt, mit einigen Einschränkungen wie z.B. Javascript.	Почта в формате HTML полностью поддерживается, с некоторыми исключениями, как например Javascript.	Wiadomości w formacie HTML są w pełni obsługiwane, z kilkoma małymi wyjątkami.					Los mensajes de correo electrónico con formato HTML son totalmente compatibles, con unas pocas excepciones.						Email yang menggunakan format HTML disokong, dengan beberapa pengecualian kecil.	Dukungan penuh pada email berformat HTML, dengan sedikit pengecualian.	E-mails formatados com HTML são totalmente suportados, com algumas pequenas exceções.			Τα μορφοποιημένα ηλεκτρονικά μηνύματα HTML υποστηρίζονται πλήρως, με ελάχιστες εξαιρέσεις.					Email được định dạng HTML được hỗ trợ đầy đủ, với một vài ngoại lệ nhỏ.	
																																
	2	Multiple text encodings!	Többfajta szövegkódolás!	Codifiche multiple dei messaggi!	Daudzkārtīgā teksta kodēšana!			Verschiedene Encodings!	Многочисленные кодировки текста!	Wiele kodowań tekstowych!					¡Múltiples juegos de caracteres para codificación de texto!						Pengekodan pelbagai teks!	Dukungan beberapa kode teks!	Várias codificações de texto!			Πολλαπλές κωδικοποιήσεις κειμένου!					Nhiều mã hóa văn bản!	
	8	Many encodings are supported, like unicode (UTF-8), Western/Latin/Central European (ISO-8859-1/2), Chinese, Japanese, Korean etc.	Többféle kódolású szöveg használható, pl. unicode (UTF-8), nyugati/latin/közép-európai (ISO-8859-1/2), kínai, japán, koreai stb.	Sono supportate molte codifiche, come unicode (UTF-8), Western/Latin/Central European (ISO-8859-1/2), cinese, giapponese, coreano, ecc.	Tiek atbalstītas daudzas kodēšanas sistēmas, piemēram, unikods (UTF-8), Rietumu / Latīņu / Centrāleiropas (ISO-8859-1/2), ķīniešu, japāņu, korejiešu, utt.			Viele verschiedene Encodings werden unterstützt, so z.B. Unicode (UTF-8), Western/Latin/Central European (ISO-8859-1/2), Chinesisch, Japanisch, Koreanisch usw.	Поддерживаются многие кодировки, как например Юникод (UTF-8), Западная/Латинская/Центрально европейская (ISO-8859-1/2), Китайская, Японская, Корейская и т.п.	Obsługiwanych jest wiele kodowań, takich jak Unicode (UTF-8), Western / Latin / Central European (ISO-8859-1 / 2), chiński, japoński, koreański itp.					Muchos juegos de caracteres para codificación de texto son compatibles, como Unicode (UTF-8), Occidental/Latino/Europa Central (ISO-8859-1/2), chino, japonés,coreano, etc						Banyak pengekodan yang disokong, seperti unicode (UTF-8), Western/Latin/Central European (ISO-8859-1/2), Chinese, Japanese, Korean dan lain-lain.	Banyak pengkodean teks yang didukung, seperti unicode (UTF-8), Western/Latin/Central European (ISO-8859-1/2), Chinese, Japanese, Korean dsb.	Muitas codificações são suportadas, como Unicode (UTF-8), / Latina / Central Europeu (ISO-8859-1 / 2), Chinesa, Japonesa, Coreana, etc.			Υποστηρίζονται πολλές κωδικοποιήσεις, όπως unicode (UTF-8), Δυτική / Λατινική / Κεντρική Ευρώπη (ISO-8859-1 / 2), Κινέζικα, Ιαπωνικά, Κορεάτικα κλπ.					Nhiều mã hóa được hỗ trợ, như unicode (UTF-8), Tây/Latinh/Trung Âu (ISO-8859-1 / 2), Trung Quốc, Nhật Bản, Hàn Quốc, v.v.	
																																
	2	Multipart messages (MIME multipart)!	Többrészes üzenetek (MIME multipart)!	Messaggi multiparte (MIME multiparte)!	Vairākdaļu ziņojumi (MIME vairākdaļu ziņojumi)!			Multipart-MIME Nachrichten!	Многокомпонентные сообщения (многокомпонентные MIME)!	Wiadomości wieloczęściowe (wieloczęściowe MIME)!					¡Mensajes multiparte (MIME multiparte)!		Višedjelne poruke (MIME multipart)				Pelbagai bahagian mesej (MIME pelbagai bahagian)!	Pesan multipart (MIME Multipart)	Mensagens de várias partes (multipart MIME)!			Μηνύματα πολλαπλών τμημάτων (MIME multipart)!					Multipart tin nhắn (MIME multpiart)!	
	8	Messages made of different parts (HTML, text, attachments) are supported, displaying all parts with their type noted.  Attached images, files can be viewed and downloaded.  Beware though that unsolicited attachments likely contain viruses or scams.	A több részből álló üzenetek (szöveges, formázott, csatolmányok) is helyesen jelennek meg. A csatolt képek, fájlok megtekinthetők, letölthetők.	Messaggi composti di parti diverse (HTML, testo, allegati) sono supportati; tutte le parti vengono mostrate con l'indicazione del tipo, una dietro l'altra. Le immagini e i file allegati possono essere visualizzati e scaricati; tuttavia, vi consigliamo di fare attenzione alle email con allegati sospetti perché potrebbero contenere virus.	Tiek atbalstīti ziņojumi, kas veidoti no dažādām daļām (HTML, teksts, pielikumi); viena pēc otras tiek attēlotas visas ziņojumu daļas. Tomēr tiek izmantotas tikai teksta daļas, citas ziņojuma daļas (attēli, faili, utt.) tiek ignorētas. Tiks parādīti attēli, kuru saites būs savienotas ar citiem serveriem.			Nachrichten, die aus verschiedenen Teilen bestehen (HTML, text, Anhänge) werden unterstützt. Es werden alle Teile angezeigt, einer nach dem anderen. Es werden für die Klicks allerdings nur die Text-Mails genutzt, andere Teile werden ignoriert). Bilder, auch fremder Domains, werden angezeigt.	Поддерживаются сообщения, состоящие из разных частей (HTML, текст, вложения), отображая все части с пометкой типа, одного за другим. Однако для клика используются только текстовые части, любой другой тип игнорируется (изображения, файлы и т.п.). Изображения по ссылке других серверов отображаться будут.	Wiadomości z różnych części (HTML, tekst, załączniki) są obsługiwane, wyświetlając wszystkie części ze wskazanym typem. Załączone obrazy, pliki można przeglądać i pobierać. Pamiętaj jednak, że niechciane załączniki prawdopodobnie zawierają wirusy lub oszustwa.					Se soportan los mensajes multiparte (HTML, texto, archivos adjuntos), mostrando todas sus partes con su tipo específico. Los archivos de imágenes adjuntos pueden ser vistos y descargados. Tené cuidado porque los archivos adjuntos no solicitados pueden contener virus o estafas.						Mesej yang dihasilkan daripada jenis yang berlainan (HTML, teks, lampiran) adalah disokong. Fail atau imej yang dilampirkan boleh dilihat dan dimuat turun. Berhati-hati dengan lampiran yang tidak diminta, mungkin mengandungi virus atau penipuan.	Dukungan pada email yang dibuat dengan lebih dari satu bagian (HTML, teks, lampiran), dan bisa menampilkan semua bagian tersebut sesuai dengan jenisnya. Sisipan gambar, file bisa dilihat dan diunduh. Tetapi mohon berhati-hati karena mungkin saja berisi virus atau link scam.	Mensagens compostas de diferentes partes (HTML, texto, anexos) são suportadas, exibindo todas as partes com seu tipo. Imagens e arquivos anexados podem ser vistos e baixados. Cuidado, porém, pois anexos não solicitados provavelmente contenham vírus ou fraudes.			Τα μηνύματα που προέρχονται από διάφορα μέρη (HTML, κείμενο, συνημμένα) υποστηρίζονται, εμφανίζοντας όλα τα μέρη με τον τύπο τους σημειωμένο. Οι συνημμένες εικόνες, τα αρχεία μπορούν να προβληθούν και να φορτωθούν. Προσέξτε, ωστόσο, ότι τα ανεπιθύμητα συνημμένα πιθανόν να περιέχουν ιούς ή απάτες.					Thư được tạo từ các phần khác nhau (HTML, văn bản, tệp đính kèm) được hỗ trợ, hiển thị tất cả các phần với loại của chúng được ghi chú.  Các hình ảnh đính kèm, các tập tin có thể được xem và tải xuống.  Hãy cẩn thận mặc dù các tệp đính kèm không được yêu cầu có thể chứa vi-rút hoặc lừa đảo.	
																																
rss	2	RSS channel for every mailbox!	RSS csatorna minden postafiókhoz!	Feed RSS per ogni casella di posta!	RSS kanāls katrai pastkastītei!			RSS Kanal für jede Mailbox!	RSS канал для каждого почтового ящика!	Kanał RSS dla każdej skrzynki pocztowej!					¡Canales RSS para todas las cuentas!						Saluran RSS bagi setiap peti mel!	Kanal RSS untuk tiap mailbox!	Canal RSS para cada e-mail!			Ροή RSS για κάθε γραμματοκιβώτιο!					Kênh RSS cho mọi hộp thư!	
	8	If you would like to be informed when a new message arrives, click on the *RSS* button on the desired mailbox page.  This way you can convert an email newsletter into an RSS feed! (email to RSS) The following RSS URL parameters are available:	Ha figyelni szeretnéd, mikor érkezik levél egy adott postafiókra, kattints az RSS ikonra az adott postafiókban.	Se vuoi essere informato quando arriva un nuovo messaggio clicca sul bottone RSS della pagina della casella di posta desiderata. In questo modo puoi convertire una newsletter in un feed RSS! (e-mail a RSS)	Ja vēlaties tikt informēts par jauna ziņojuma pienākšanu, piespiediet RSS pogu vēlamajā pastkastītes lapā. Šādā veidā jūs varat konfigurēt e-pasta iesūtni, lai ziņojumi nāktu uz RSS barotni! (e-pasts uz RSS)			Wenn Du erfahren möchtest, wann eine neue Mail eingegangen ist, klicke auf den RSS Button auf der gewünschten Mailbox-Seite. So kannst Du E-Mail Newsletter in einen RSS Feed umwandeln (email-to-RSS).	Если вы хотите быть уведомлённым о поступлении нового сообщения, нажмите на кнопку RSS на странице требуемого почтового ящика. Таким образом, вы конвертируете информационный бюллетень электронной почты в RSS рассылку! (электронная почта в RSS)	Jeśli chcesz być informowany o nadejściu nowej wiadomości, kliknij przycisk RSS na żądanej stronie skrzynki pocztowej. W ten sposób możesz zamienić biuletyn e-mailowy na kanał RSS! (e-mail do RSS) Dostępne są następujące parametry URL RSS: 					Si querés estar informado cuando llega un nuevo mensaje, hacé clic en el botón *RSS* en la página de la cuenta deseada. ¡De esta forma podés convertir un mensaje de un boletín electrónico en una fuente RSS! (mensaje correo electrónico a RSS)						Jika anda mahu dimaklumkan apabila mesej baru tiba, klik pada butang *RSS* di halaman peti mel yang dikehendaki. Dengan cara ini anda boleh menukar dari e-mel ke RSS! (e-mel kepada RSS)	Jika anda ingin terus mendapat notifikasi tiap pesan yang masuk, klik tombol *RSS* pada mailbox yang diinginkan. Ini akan menjadikan newsletter email menjadi pasokan RSS (email jadi RSS)	Se você gostaria de ser informado quando chega uma nova mensagem, clique no botão *RSS* na página da caixa de correio desejada. Desta forma, você pode converter um boletim de e-mail em um feed RSS! (e-mail para RSS) Os seguintes parâmetros de URL RSS estão disponíveis:			Εάν θέλετε να ενημερώνεστε όταν φτάνει ένα νέο μήνυμα, κάντε κλικ στο κουμπί *RSS* στη σελίδα του επιθυμητού γραμματοκιβωτίου. Με αυτόν τον τρόπο μπορείτε να μετατρέψετε ένα ενημερωτικό δελτίο ηλεκτρονικού ταχυδρομείου σε μια ροή RSS! (e-mail σε RSS) Οι ακόλουθες παράμετροι URL RSS είναι διαθέσιμες:					Nếu bạn muốn được thông báo khi có thư mới, hãy nhấp vào nút *RSS* trên trang hộp thư mong muốn.  Bằng cách này, bạn có thể chuyển đổi một bản tin email thành một nguồn cấp dữ liệu RSS!  (gửi email tới RSS) Các tham số URL RSS sau có sẵn:	
	8	- mailcount: the number of emails to display in the RSS, 10 if not specified						- mailcount: die Anzahl der Mails die als RSS angezeit werden sollen, 10 wenn nichts angegeben ist		mailcount: liczba wiadomości e-mail wyświetlanych w kanale RSS, 10, jeśli nie określono inaczej 													- mailcount: o número de e-mails para exibir no RSS, 10, se não especificado			-mailcount: ο αριθμός των μηνυμάτων ηλεκτρονικού ταχυδρομείου που θα εμφανίζονται στο RSS, 10 αν δεν έχει καθοριστεί					- số lượng email: số lượng email hiển thị trong RSS, mặc định là 10	
	8	- format: "html" or "plain", defaults to the one that is greater (in bytes)								format: "html" lub "plain", domyślnie ten, który jest większy (w bajtach)													- formato: "html" ou "texto", o padrão é aquele que é maior (em bytes)			-format: "html" ή "plain", προεπιλεγμένη αυτή που είναι μεγαλύτερη (σε bytes)					- định dạng: "html" hoặc "plain", mặc định là định dạng lớn hơn (tính bằng byte)	
	8	Example: mailnesia.com/rss/mailbox_name?mailcount=50&format=plain						Beispiel: mailnesia.com/rss/mailbox_name?mailcount=50&format=plain		Przykład: mailnesia.com/rss/mailbox_name?mailcount=50&format=plain											Contoh: mailnesia.com/rss/mailbox_name?mailcount=50&format=plain		Exemplo: mailnesia.com/rss/mailbox_name?mailcount=50&format=plain			Παράδειγμα: mailnesia.com/rss/mailbox_name?mailcount=50&format=plain					Ví dụ: mailnesia.com/rss/mailbox_name?mailcount=50&format=plain	
																																
